Date,Close,High,Low,Open,Volume
12-07-2022,143.7451477,146.2975912,142.9468945,143.6465916,77588800
13-07-2022,143.3805084,144.3265807,140.0593607,140.9167566,71185600
14-07-2022,146.3172607,146.7902968,141.1729469,141.9909141,78140700
15-07-2022,147.9926453,148.6726432,146.0512076,147.6083006,76259900
18-07-2022,144.9375916,149.3723446,144.5729461,148.5543772,81420900
19-07-2022,148.8106079,149.0372689,144.7799136,145.7752639,82982400
20-07-2022,150.8210144,151.4911627,148.1897294,148.9288549,64823400
21-07-2022,153.0975342,153.3143455,149.7369733,152.2598526,65086600
22-07-2022,151.8558044,154.0140535,151.1856712,153.1369584,66675400
25-07-2022,150.7322998,152.7919923,150.0720163,151.7769279,53623900
26-07-2022,149.4019318,150.8703184,148.6135281,150.0523509,55138700
27-07-2022,154.5166473,155.0488261,149.9537893,150.3676978,78620700
28-07-2022,155.0685577,155.3543464,152.171183,154.7039122,81378700
29-07-2022,160.1537018,161.2574727,157.1873503,158.9021268,101786900
01-08-2022,159.1682129,161.2180562,158.5572073,158.6754625,67829400
02-08-2022,157.6899414,160.0551518,157.3154614,157.7786479,59907000
03-08-2022,163.7212219,164.1745438,158.4192238,158.5079153,82507500
04-08-2022,163.4058685,164.7658643,162.0458728,163.6029657,55474100
05-08-2022,163.178894,163.6723288,160.8597445,161.0669937,56697000
08-08-2022,162.7051697,165.6065684,162.0439689,164.1854739,60276900
09-08-2022,162.7545471,163.6427389,161.1064765,161.8663704,63135500
10-08-2022,167.0178375,167.1165155,164.7085509,165.4783081,70170500
11-08-2022,166.2776642,168.7448382,165.9816003,167.8270416,57149200
12-08-2022,169.8402557,169.9093288,167.1756959,167.5901944,68039400
15-08-2022,170.9159546,171.1133255,169.1001181,169.2678841,54091700
16-08-2022,170.7580261,171.4291052,169.4060197,170.5113088,56377100
17-08-2022,172.2580566,173.8370386,170.3040594,170.5014303,79542000
18-08-2022,171.8633423,172.6034945,170.8468678,171.4686005,62290100
19-08-2022,169.2678833,171.4587351,169.0606341,170.758051,70346300
22-08-2022,165.3697357,167.6296603,164.945374,167.4618943,69026800
23-08-2022,165.0342102,166.4947882,164.461824,164.8861858,54147100
24-08-2022,165.3302612,165.9026474,164.0670694,165.123027,53841500
25-08-2022,167.7974396,167.9059958,166.1395058,166.5638526,51218200
26-08-2022,161.4715881,168.8040366,161.4123784,168.3303434,78961000
29-08-2022,159.2610168,160.7610478,157.7215027,159.034026,73314000
30-08-2022,156.8234558,160.4255239,155.6490785,160.0011772,77906200
31-08-2022,155.1556549,158.4715377,155.0767035,158.2050787,87991100
01-09-2022,155.8859253,156.3398769,152.6391159,154.5832502,74229900
02-09-2022,153.7641449,158.2544044,152.9351781,157.6524134,76957800
06-09-2022,152.500946,155.0273296,151.6719793,154.4154753,73714800
07-09-2022,153.9122009,154.61287,151.5930512,152.7871701,87449600
08-09-2022,152.4318695,154.3069155,150.6752279,152.6094988,84923800
09-09-2022,155.3036652,155.7477685,152.7180716,153.4286189,68028800
12-09-2022,161.2840881,162.1031917,157.208327,157.4945126,104956000
13-09-2022,151.8200226,158.4320462,151.3561926,157.8004502,122656600
14-09-2022,153.2707214,155.0372265,151.5930461,152.757545,87965400
15-09-2022,150.3692932,153.2016188,149.3923021,152.6193544,90481100
16-09-2022,148.7212372,149.3627114,146.4218293,149.2245503,162278800
19-09-2022,152.4516144,152.5305658,147.1422661,147.3495003,81474200
20-09-2022,154.8398132,156.004327,151.0699797,151.3857701,107689800
21-09-2022,151.7016144,156.6557046,151.5831948,155.2740779,101696800
22-09-2022,150.7344666,152.4417467,148.9284934,150.3791929,86652500
23-09-2022,148.4547729,149.4811257,146.6093318,149.2048034,96029900
26-09-2022,148.790329,151.7509377,147.6751615,147.6949032,93339400
27-09-2022,149.767334,152.6884748,147.9811023,150.7344771,84442700
28-09-2022,147.8725128,148.6620114,142.9381656,145.7014031,146691400
29-09-2022,140.6091919,144.7935249,138.8328234,144.1816705,128138200
30-09-2022,136.385376,141.2210461,136.1880051,139.4249362,124925300
03-10-2022,140.5795441,141.1914133,135.8820511,136.3952274,114311700
04-10-2022,144.1816406,144.3000601,142.3657893,143.125683,87830100
05-10-2022,144.4776917,145.4448346,141.1322046,142.1782989,79471000
06-10-2022,143.5204163,145.6027114,143.3131821,143.8954315,68402200
07-10-2022,138.2505493,141.2210362,137.6189534,140.6683767,85925600
10-10-2022,138.5762177,140.0269171,136.7505181,138.5762177,74899000
11-10-2022,137.1551208,139.4940118,136.4051054,138.063039,77033700
12-10-2022,136.5235443,138.5170252,136.345915,137.3031798,70433700
13-10-2022,141.1125031,141.7046158,132.605676,133.2175455,113224000
14-10-2022,136.5630035,142.6223815,136.3754959,142.4151323,88598000
17-10-2022,140.5400848,141.0236412,138.4281848,139.2176834,85250900
18-10-2022,141.8625183,144.7737809,138.7637481,143.579677,99136600
19-10-2022,141.9710541,143.0467383,139.6420413,139.829549,61758300
20-10-2022,141.5072327,143.9744067,140.7769437,141.1420957,64522000
21-10-2022,145.3363037,145.9086899,140.7769555,140.994068,86548600
24-10-2022,147.4876709,148.257428,144.0829735,145.2573508,75981900
25-10-2022,150.3396912,150.4877306,147.3988244,148.1192349,74732300
26-10-2022,147.3889771,149.9943121,146.0961653,148.9778377,88194300
27-10-2022,142.8987122,147.0929077,142.2375114,146.1257798,109180200
28-10-2022,153.6950684,155.4319533,145.8790634,146.2540636,164762400
31-10-2022,151.3265839,152.2147756,149.9252308,151.1489546,97943200
01-11-2022,148.6718903,153.4088671,147.1718594,153.0437302,80379300
02-11-2022,143.1256866,150.1719345,143.0960818,146.9942134,93604600
03-11-2022,137.0564575,140.9249846,136.9281597,140.1946957,97918500
04-11-2022,136.7895508,141.0302375,132.8355243,140.4569019,140814800
07-11-2022,137.323349,137.5507013,134.1107022,135.5341543,83374600
08-11-2022,137.8966827,139.8044934,135.9097897,138.7962274,89908500
09-11-2022,133.3198853,136.9575975,133.0431046,136.9081692,74917800
10-11-2022,145.1819611,145.1819611,137.8966722,139.6166791,118854000
11-11-2022,147.9794464,148.2858811,142.710704,144.1440508,93979700
